,event,eta,phi,PT,jmass,ntrk,btag,hadem
19687,34042,0.261,-1.221,47.61,0.11,-1.0,4.0,48.1
19688,34054,-0.131,0.111,385.87,0.11,-1.0,4.0,388.03
19689,34056,-1.222,0.35,298.01,0.11,1.0,3.0,298.03
19690,34060,-1.545,-0.621,61.44,0.11,1.0,3.0,65.0
19691,34061,-0.062,-2.182,296.52,0.11,1.0,4.0,328.12
19692,34070,0.95,-2.975,68.2,0.11,1.0,3.0,69.18
19693,34080,-0.336,1.315,65.72,0.11,1.0,6.0,67.0
19694,34092,-1.64,2.075,36.03,0.11,1.0,3.0,37.0
19695,34100,0.762,1.761,85.54,0.11,-1.0,3.0,100.23
19696,34105,-1.223,-2.44,36.89,0.11,-1.0,3.0,37.0
19697,34110,-0.006,-0.015,422.45,0.11,-1.0,3.0,424.02
19698,34112,0.544,-1.646,384.91,0.11,1.0,5.0,385.0
19699,34113,-1.136,2.621,221.57,0.11,-1.0,3.0,232.02
