,event,eta,phi,PT,jmass,ntrk,btag,hadem
17152,7782,0.987,0.882,41.24,3.74,1.0,0.0,8.71
17153,7792,-1.734,1.514,146.89,9.21,1.0,0.0,0.0
17154,7802,-1.032,0.688,271.98,31.15,1.0,0.0,0.0
17155,7804,-0.123,1.662,307.53,36.31,-1.0,0.0,0.07
17156,7808,0.724,-1.062,27.65,6.94,-1.0,0.0,1.67
17157,7810,0.576,1.397,726.1,104.29,1.0,0.0,1.15
17158,7813,-0.805,-0.979,434.36,57.54,1.0,0.0,1.81
17159,7823,0.397,0.331,73.52,9.84,-1.0,0.0,0.74
17160,7827,-0.209,-1.713,406.17,73.74,1.0,0.0,0.74
17161,7829,0.322,2.856,448.15,61.34,-1.0,0.0,0.55
17162,7846,0.956,-1.503,514.97,86.32,-1.0,0.0,1.34
17163,7849,-0.166,2.828,415.57,65.6,-1.0,0.0,2.41
17164,7850,-0.626,2.657,439.27,72.11,-1.0,0.0,0.01
17165,7851,1.955,1.697,30.49,2.29,-1.0,0.0,999.9
17166,7852,1.016,-0.089,187.17,9.31,-1.0,0.0,4.3
17167,7854,0.821,0.629,614.47,159.73,1.0,0.0,1.1
17168,7859,0.727,0.732,326.08,37.23,-1.0,0.0,0.12
17169,7864,0.396,-2.616,324.25,48.88,-1.0,0.0,0.83
17170,7864,0.394,1.248,30.16,0.61,1.0,0.0,0.0
17171,7866,-0.826,-0.306,277.72,52.41,-1.0,0.0,0.14
17172,7871,-1.023,3.007,394.0,85.02,-1.0,0.0,0.05
17173,7872,1.124,-1.188,633.03,133.99,1.0,0.0,0.22
17174,7873,-1.343,-1.359,402.65,57.83,1.0,0.0,1.39
17175,7878,0.436,2.143,196.13,1.75,-1.0,0.0,0.0
17176,7878,-0.437,-0.559,38.03,12.23,-1.0,0.0,4.49
17177,7885,0.828,-1.762,467.59,115.09,1.0,0.0,10.61
17178,7886,-0.924,1.066,418.65,77.06,-1.0,0.0,0.18
17179,7889,-0.901,0.936,335.38,20.23,-1.0,0.0,6.85
17180,7891,0.409,-1.584,23.75,2.96,-1.0,0.0,0.0
17181,7899,-0.247,1.029,478.81,106.73,1.0,0.0,0.6
17182,7900,-0.554,-0.617,364.78,72.23,1.0,0.0,0.32
17183,7902,0.663,2.883,60.22,9.9,1.0,0.0,0.0
17184,7903,-0.199,1.154,78.48,0.99,-1.0,0.0,999.9
17185,7910,0.197,2.711,187.44,19.47,1.0,0.0,0.86
17186,7911,-0.758,-2.466,350.28,49.41,1.0,0.0,0.78
17187,7923,-0.736,2.113,322.13,27.82,1.0,0.0,0.32
17188,7924,-0.129,2.192,167.58,15.67,1.0,0.0,0.15
17189,7931,-0.007,-2.93,55.44,10.71,-1.0,0.0,999.9
17190,7933,-2.097,2.366,80.39,3.01,-1.0,0.0,0.0
17191,7938,0.182,-1.726,374.89,83.6,-1.0,0.0,0.15
17192,7941,0.732,-0.095,278.24,23.28,-1.0,0.0,0.0
17193,7944,1.721,-2.013,172.64,23.71,-1.0,0.0,1.2
17194,7950,-1.094,-0.082,30.22,3.22,-1.0,0.0,1.01
17195,7952,-0.908,-1.729,597.18,89.15,-1.0,0.0,0.75
17196,7955,-1.987,-0.987,451.12,109.25,-1.0,0.0,0.18
17197,7956,1.128,1.929,513.77,62.4,-1.0,0.0,1.06
17198,7960,1.232,-1.213,371.07,79.78,1.0,0.0,0.2
17199,7960,0.416,1.83,320.59,27.93,1.0,0.0,0.44
17200,7962,-0.483,-2.116,383.7,52.6,1.0,0.0,0.14
17201,7962,0.131,1.08,346.88,11.27,-1.0,0.0,0.0
17202,7963,0.778,-0.203,41.55,5.02,1.0,0.0,0.0
17203,7970,-1.214,1.276,526.65,135.34,-1.0,0.0,0.38
17204,7971,-0.316,-1.928,493.93,147.81,1.0,0.0,1.23
17205,7971,-0.018,-2.396,53.83,9.29,1.0,0.0,4.1
17206,7974,0.769,2.749,481.39,65.08,-1.0,0.0,0.29
