,event,eta,phi,PT,jmass,ntrk,btag,hadem
209,1205,1.746,-2.252,115.73,0.0,-1.0,0.0,0.0
210,1207,1.355,1.016,28.99,0.0,1.0,0.0,0.0
211,1215,-1.074,-1.786,141.83,0.0,-1.0,0.0,0.0
212,1240,1.863,1.108,40.02,0.0,-1.0,0.0,0.0
213,1242,1.573,2.108,44.38,0.0,1.0,0.0,0.0
214,1267,1.461,-0.08,183.89,0.0,-1.0,0.0,0.0
215,1272,0.632,1.95,139.63,0.0,1.0,0.0,0.0
216,1281,1.601,-2.41,133.26,0.0,1.0,0.0,0.0
217,1287,1.121,0.532,87.1,0.0,-1.0,0.0,0.0
218,1288,1.929,1.356,33.26,0.0,1.0,0.0,0.0
219,1293,1.601,-1.503,49.86,0.0,1.0,0.0,0.0
220,1294,1.271,-1.179,109.18,0.0,-1.0,0.0,0.0
221,1318,1.412,2.93,57.56,0.0,-1.0,0.0,0.0
222,1320,0.977,0.223,246.43,0.0,-1.0,0.0,0.0
223,1320,-1.603,-1.218,89.24,0.0,-1.0,0.0,0.0
224,1325,2.241,-0.541,58.66,0.0,1.0,0.0,0.0
225,1328,0.562,0.462,125.11,0.0,-1.0,0.0,0.0
226,1334,1.246,-1.15,169.33,0.0,1.0,0.0,0.0
227,1351,1.485,-0.727,25.88,0.0,-1.0,0.0,0.0
228,1364,-1.585,0.639,55.7,0.0,1.0,0.0,0.0
229,1367,0.79,2.555,38.33,0.0,-1.0,0.0,0.0
230,1372,2.177,-1.138,51.42,0.0,-1.0,0.0,0.0
231,1388,1.185,-2.241,280.09,0.0,1.0,0.0,0.0
232,1395,2.358,2.213,15.43,0.0,-1.0,0.0,0.0
233,1396,1.818,-0.335,49.64,0.0,1.0,0.0,0.0
234,1399,-1.54,3.104,79.61,0.0,-1.0,0.0,0.0
235,1403,1.284,1.409,26.9,0.0,1.0,0.0,0.0
236,1408,-1.22,2.046,64.34,0.0,-1.0,0.0,0.0
237,1411,1.681,-1.175,10.48,0.0,-1.0,0.0,0.0
238,1417,-1.665,-1.35,35.5,0.0,-1.0,0.0,0.0
239,1421,1.522,-0.874,26.54,0.0,1.0,0.0,0.0
240,1422,1.176,2.75,158.5,0.0,1.0,0.0,0.0
241,1422,1.175,2.468,33.78,0.0,1.0,0.0,0.0
242,1424,1.463,-0.007,18.46,0.0,1.0,0.0,0.0
243,1458,-1.345,-0.329,193.77,0.0,-1.0,0.0,0.0
244,1462,-1.838,3.128,32.35,0.0,1.0,0.0,0.0
245,1468,1.909,0.104,33.63,0.0,1.0,0.0,0.0
