,event,particle,eta,phi,PT,jmass,ntrk,btag,hadem
13220,453,jet,0.856,1.843,185.06,42.13,11.0,0.0,0.44
13221,453,jet,1.433,-2.516,175.8,36.73,15.0,0.0,0.38
13222,453,jet,-0.422,1.524,153.57,35.42,34.0,0.0,2.61
13223,453,jet,-1.05,-1.361,136.18,19.19,6.0,0.0,0.29
13224,453,jet,1.225,0.418,117.86,10.74,12.0,0.0,0.0
13225,453,jet,0.14,1.226,102.72,19.65,14.0,0.0,1.02
13226,453,jet,-1.323,2.041,89.49,17.94,11.0,0.0,0.68
13227,453,jet,0.855,2.458,72.33,11.12,14.0,0.0,2.65
13228,453,jet,0.718,0.006,69.49,11.91,3.0,0.0,0.3
13229,453,jet,-0.533,-0.179,63.57,5.74,13.0,0.0,2.94
13230,453,jet,-0.828,2.682,61.76,14.31,9.0,0.0,13.37
13231,453,jet,-1.066,-2.416,52.72,8.25,18.0,0.0,0.3
13232,453,jet,0.842,-0.967,52.31,5.57,9.0,0.0,999.9
13233,453,jet,0.426,-0.671,34.91,0.56,18.0,0.0,0.0
13234,453,jet,0.535,0.825,26.48,3.73,3.0,0.0,0.0
13235,453,jet,-1.681,-1.147,23.21,4.17,10.0,0.0,0.72
13236,453,MET,0.0,-0.525,520.33,0.0,0.0,0.0,0.0
13237,454,photon,-1.596,2.012,20.52,0.0,0.0,0.0,0.0
13238,454,jet,-0.265,1.15,860.46,252.01,53.0,1.0,0.31
13239,454,jet,0.249,-1.897,789.81,225.73,50.0,0.0,1.58
13240,454,jet,0.597,0.466,719.26,172.08,37.0,0.0,0.41
13241,454,jet,-0.189,-2.853,662.91,146.26,53.0,1.0,0.5
13242,454,jet,0.17,1.962,411.54,127.87,34.0,0.0,0.53
13243,454,jet,-0.072,-0.43,312.29,81.65,34.0,1.0,0.14
13244,454,jet,0.787,-0.46,296.64,89.04,36.0,1.0,0.97
13245,454,jet,0.893,-2.521,290.25,79.72,35.0,1.0,0.41
13246,454,jet,-0.266,-1.296,279.93,79.75,30.0,0.0,0.57
13247,454,jet,0.84,3.125,205.43,32.33,22.0,0.0,0.61
13248,454,jet,-0.536,2.388,136.32,38.88,25.0,0.0,0.42
13249,454,jet,0.811,2.241,122.49,11.76,15.0,0.0,0.04
13250,454,jet,0.267,1.364,121.05,19.63,43.0,1.0,2.17
