,event,particle,eta,phi,PT,jmass,ntrk,btag,hadem
38172,5195,jet,0.231,2.784,120.41,22.45,26.0,0.0,0.07
38173,5195,jet,0.231,-1.848,119.46,5.72,29.0,1.0,0.0
38174,5195,jet,0.029,1.576,104.13,6.36,29.0,0.0,0.26
38175,5195,jet,0.105,0.487,91.58,19.52,22.0,0.0,0.57
38176,5195,jet,0.749,2.632,37.35,6.97,7.0,0.0,17.78
38177,5195,jet,-0.296,-0.038,22.97,7.96,21.0,0.0,999.9
38178,5195,MET,0.0,0.92,1081.2,0.0,0.0,0.0,0.0
38179,5196,electron,-0.383,-2.205,1534.47,0.0,-1.0,0.0,0.0
38180,5196,muon,-1.377,-0.484,875.3,0.11,1.0,7.0,875.0
38181,5196,tau,0.905,0.142,971.34,60.06,1.0,0.0,0.0
38182,5196,tau,0.367,-0.137,519.33,29.84,1.0,0.0,0.56
38183,5196,tau,-0.369,2.105,78.16,7.11,1.0,0.0,0.29
38184,5196,jet,-0.303,2.566,1212.03,76.86,29.0,1.0,0.08
38185,5196,jet,-1.195,1.792,32.62,3.53,6.0,0.0,0.26
38186,5196,MET,0.0,1.905,870.85,0.0,0.0,0.0,0.0
38187,5197,jet,-0.052,2.26,4423.64,148.95,29.0,0.0,0.0
38188,5197,jet,0.101,-0.522,2617.48,54.64,2.0,1.0,999.9
38189,5197,jet,-0.299,-1.288,1654.03,40.55,18.0,0.0,0.01
38190,5197,jet,-1.22,0.235,145.7,18.58,18.0,0.0,0.78
38191,5197,jet,0.179,3.131,119.03,26.47,27.0,1.0,0.46
38192,5197,MET,0.0,-1.494,567.51,0.0,0.0,0.0,0.0
38193,5198,jet,-0.141,-1.188,2558.73,98.82,33.0,0.0,0.75
38194,5198,jet,0.21,2.362,1857.7,111.64,24.0,0.0,0.39
38195,5198,jet,-0.014,1.371,1351.4,43.5,11.0,1.0,0.0
38196,5198,jet,-2.379,-1.066,176.58,12.78,6.0,1.0,7.6
38197,5198,jet,-0.742,-0.798,61.51,9.24,6.0,0.0,0.37
38198,5198,MET,0.0,-2.175,69.49,0.0,0.0,0.0,0.0
38199,5199,muon,2.148,0.557,439.4,0.11,1.0,3.0,442.01
38200,5199,jet,-0.185,-2.425,1902.24,63.4,19.0,1.0,0.83
38201,5199,jet,-1.327,0.808,1873.05,80.44,18.0,1.0,1.1
38202,5199,MET,0.0,-2.172,408.76,0.0,0.0,0.0,0.0
38203,5200,jet,-1.022,1.822,2439.04,113.16,34.0,0.0,1.75
38204,5200,jet,0.921,-0.831,2202.92,94.64,33.0,0.0,0.42
38205,5200,jet,-1.393,-2.65,1092.76,140.48,24.0,0.0,1.17
38206,5200,jet,0.762,-1.282,24.36,2.63,33.0,0.0,999.9
38207,5200,MET,0.0,-1.182,250.86,0.0,0.0,0.0,0.0
38208,5201,electron,0.184,2.746,26.64,0.0,1.0,0.0,0.0
38209,5201,jet,0.426,-0.16,3921.76,219.12,30.0,0.0,0.73
38210,5201,jet,-0.232,-3.128,3519.25,171.57,36.0,0.0,0.08
38211,5201,jet,0.738,0.565,354.82,24.73,12.0,0.0,5.15
38212,5201,jet,1.266,0.815,264.12,26.45,14.0,0.0,2.45
38213,5201,jet,-0.48,2.045,141.91,12.48,6.0,0.0,2.04
38214,5201,jet,-1.192,-0.037,38.49,7.29,9.0,0.0,2.37
38215,5201,jet,-0.635,-1.421,37.03,8.09,10.0,0.0,0.62
38216,5201,jet,-0.255,-1.254,32.6,7.23,9.0,0.0,999.9
38217,5201,MET,0.0,2.877,813.98,0.0,0.0,0.0,0.0
38218,5202,jet,0.811,-0.618,3407.2,203.75,25.0,0.0,0.48
38219,5202,jet,-0.784,2.525,1826.14,127.14,33.0,0.0,0.08
38220,5202,jet,-0.176,1.849,977.41,116.0,37.0,0.0,0.56
38221,5202,jet,-0.341,3.074,967.33,71.54,14.0,0.0,1.49
38222,5202,jet,0.534,-1.532,108.96,25.08,15.0,0.0,0.4
38223,5202,jet,-0.344,1.421,26.27,2.55,27.0,0.0,0.0
38224,5202,MET,0.0,-2.797,79.98,0.0,0.0,0.0,0.0
38225,5203,jet,0.318,2.556,2597.54,68.35,14.0,1.0,0.21
38226,5203,jet,0.07,-0.214,1807.02,41.28,22.0,0.0,0.0
38227,5203,jet,0.21,-0.854,1728.35,92.28,30.0,1.0,0.14
38228,5203,jet,-1.268,2.312,1058.9,48.62,17.0,0.0,3.68
38229,5203,jet,-0.426,-1.984,168.4,21.41,12.0,0.0,0.0
38230,5203,jet,0.308,-2.448,98.28,22.41,15.0,0.0,0.3
38231,5203,jet,1.779,-2.016,69.86,14.16,13.0,0.0,1.36
38232,5203,jet,-0.204,-2.864,37.64,8.18,10.0,0.0,0.32
38233,5203,jet,-0.936,3.104,36.53,7.24,11.0,0.0,7.11
38234,5203,MET,0.0,-0.765,299.6,0.0,0.0,0.0,0.0
